dimension,domain,case_study,reference,attribute,score,quality,importance,work_as_described,official_score,numeric_importance
Ecological,Assets,Aguion,aguion1,Population abundance,3,Good,Low,yes,3,1
Ecological,Assets,Aguion,aguion1,Age structure,2,Fair,Low,yes,2,1
Ecological,Assets,Aguion,aguion1,Genetic diversity,4,Excellent,Medium,yes,4,2
Ecological,Assets,Aguion,aguion1,Species diversity,3,Fair,Low,yes,3,1
Ecological,Flexibility,Aguion,aguion1,Adult mobility,1,Excellent,Low,yes,1,1
Ecological,Flexibility,Aguion,aguion1,Larval dispersal,4,Excellent,High,yes,4,3
Ecological,Flexibility,Aguion,aguion1,Environmental niche breadth,3,Fair,Medium,yes,3,2
Ecological,Flexibility,Aguion,aguion1,Dietary flexibility,2,Low,Low,yes,2,1
Ecological,Flexibility,Aguion,aguion1,Habitat diversity,2,Fair,Low,yes,2,1
Ecological,Flexibility,Aguion,aguion1,Plasticity,4,Excellent,High,yes,4,3
Ecological,Flexibility,Aguion,aguion1,Evolutionary potential,3,Fair,Medium,yes,3,2
Ecological,Organization,Aguion,aguion1,Ecosystem connectivity,3,Fair,Low,yes,3,1
Ecological,Organization,Aguion,aguion1,Population modularity,3,Fair,Low,yes,3,1
Social-economic,Assets,Aguion,aguion1,Wealth and reserves,3,Low,Low,yes,3,1
Social-economic,Assets,Aguion,aguion1,Economic diversity,3,Low,High,yes,3,3
Social-economic,Assets,Aguion,aguion1,Social diversity,2,Fair,Medium,yes,2,2
Social-economic,Flexibility,Aguion,aguion1,Flexible and agile infrstructure,3,Low,Low,yes,3,1
Social-economic,Flexibility,Aguion,aguion1,Mobility,2,Excellent,Low,yes,2,1
Social-economic,Flexibility,Aguion,aguion1,Economic opportunity,2,Low,Low,yes,2,1
Social-economic,Flexibility,Aguion,aguion1,Resilience mindset,3,Fair,High,yes,3,3
Social-economic,Flexibility,Aguion,aguion1,Place attachment,4,Excellent,High,yes,4,3
Social-economic,Organization,Aguion,aguion1,Social capital,4,Excellent,High,yes,4,3
Social-economic,Organization,Aguion,aguion1,Technology transfer,2,Fair,Low,yes,2,1
Social-economic,Organization,Aguion,aguion1,Modular infrastructure,2,Fair,Low,yes,2,1
Social-economic,Learning,Aguion,aguion1,Knowledge diversity,3,Good,High,yes,3,3
Social-economic,Learning,Aguion,aguion1,Knowledge access,4,Excellent,High,yes,4,3
Social-economic,Learning,Aguion,aguion1,Learning capacity,4,Fair,High,yes,4,3
Social-economic,Agency,Aguion,aguion1,Agency,3,Excellent,High,yes,3,3
Goverance,Flexibility,Aguion,aguion1,Responsive,3,Good,High,yes,3,3
Goverance,Organization,Aguion,aguion1,Participatory,4,Excellent,High,yes,4,3
Goverance,Organization,Aguion,aguion1,Equitable and inclusive,3,Low,Medium,yes,3,2
Goverance,Organization,Aguion,aguion1,Accountable,2,Fair,Low,yes,2,1
Goverance,Organization,Aguion,aguion1,Transparent,3,Low,High,yes,3,3
Goverance,Organization,Aguion,aguion1,Effective and efficient,3,Fair,Medium,yes,3,2
Goverance,Organization,Aguion,aguion1,Polycentric,4,Good,High,yes,4,3
Goverance,Organization,Aguion,aguion1,Cross-scale integration,3,Good,High,yes,3,3
Goverance,Learning,Aguion,aguion1,Adaptive,4,Good,High,yes,4,3
Goverance,Agency,Aguion,aguion1,Leadership and initiative,3,Fair,High,yes,3,3
Ecological,Assets,Burden,burden1,Age structure,1,NA,High,NA,1,3
Ecological,Assets,Burden,burden1,Species diversity,2,NA,Low,NA,2,1
Ecological,Flexibility,Burden,burden1,Adult mobility,3,NA,High,NA,3,3
Ecological,Flexibility,Burden,burden1,Larval dispersal,3,NA,High,NA,3,3
Ecological,Flexibility,Burden,burden1,Environmental niche breadth,2,NA,High,NA,2,3
Ecological,Flexibility,Burden,burden1,Habitat diversity,2,NA,Low,NA,2,1
Ecological,Flexibility,Burden,burden1,Plasticity,2,NA,Low,NA,2,1
Ecological,Flexibility,Burden,burden1,Evolutionary potential,3,NA,Medium,NA,3,2
Ecological,Organization,Burden,burden1,Ecosystem connectivity,4,NA,High,NA,4,3
Ecological,Organization,Burden,burden1,Population modularity,2,NA,Low,NA,2,1
Social-economic,Assets,Burden,burden1,Wealth and reserves,3,NA,Medium,NA,3,2
Social-economic,Assets,Burden,burden1,Economic diversity,4,NA,High,NA,4,3
Social-economic,Assets,Burden,burden1,Social diversity,2,NA,Low,NA,2,1
Social-economic,Flexibility,Burden,burden1,Mobility,3,NA,High,NA,3,3
Social-economic,Flexibility,Burden,burden1,Economic opportunity,4,NA,High,NA,4,3
Social-economic,Flexibility,Burden,burden1,Resilience mindset,3,NA,High,NA,3,3
Social-economic,Flexibility,Burden,burden1,Place attachment,3,NA,Low,NA,3,1
Social-economic,Organization,Burden,burden1,Technology transfer,3,NA,Medium,NA,3,2
Social-economic,Organization,Burden,burden1,Modular infrastructure,2,NA,Medium,NA,2,2
Social-economic,Learning,Burden,burden1,Knowledge diversity,2,NA,Medium,NA,2,2
Social-economic,Learning,Burden,burden1,Knowledge access,3,NA,Medium,NA,3,2
Social-economic,Learning,Burden,burden1,Learning capacity,3,NA,High,NA,3,3
Social-economic,Agency,Burden,burden1,Agency,3,NA,Medium,NA,3,2
Goverance,Flexibility,Burden,burden1,Responsive,3,NA,High,NA,3,3
Goverance,Organization,Burden,burden1,Participatory,4,NA,High,NA,4,3
Goverance,Organization,Burden,burden1,Equitable and inclusive,3,NA,Medium,NA,3,2
Goverance,Organization,Burden,burden1,Accountable,4,NA,High,NA,4,3
Goverance,Organization,Burden,burden1,Transparent,4,NA,Medium,NA,4,2
Goverance,Organization,Burden,burden1,Effective and efficient,2,NA,High,NA,2,3
Goverance,Organization,Burden,burden1,Polycentric,3,NA,Medium,NA,3,2
Goverance,Organization,Burden,burden1,Cross-scale integration,3,NA,Medium,NA,3,2
Goverance,Learning,Burden,burden1,Adaptive,4,NA,High,NA,4,3
Goverance,Agency,Burden,burden1,Leadership and initiative,3,NA,Medium,NA,3,2
Ecological,Assets,Dickey_Collas,dickey_collas1,Population abundance,4,Excellent,Medium,yes,4,2
Ecological,Assets,Dickey_Collas,dickey_collas1,Age structure,2,Excellent,Medium,no,2,2
Ecological,Assets,Dickey_Collas,dickey_collas1,Genetic diversity,3,Excellent,Low,yes,3,1
Ecological,Assets,Dickey_Collas,dickey_collas1,Species diversity,3,Excellent,Low,yes,3,1
Ecological,Flexibility,Dickey_Collas,dickey_collas1,Adult mobility,3,Excellent,High,yes,3,3
Ecological,Flexibility,Dickey_Collas,dickey_collas1,Larval dispersal,4,Excellent,High,yes,4,3
Ecological,Flexibility,Dickey_Collas,dickey_collas1,Environmental niche breadth,3,Good,Medium,yes,3,2
Ecological,Flexibility,Dickey_Collas,dickey_collas1,Dietary flexibility,4,Excellent,High,NA,4,3
Ecological,Flexibility,Dickey_Collas,dickey_collas1,Habitat diversity,2,Excellent,Medium,no,2,2
Ecological,Flexibility,Dickey_Collas,dickey_collas1,Plasticity,3,Excellent,High,yes,3,3
Ecological,Flexibility,Dickey_Collas,dickey_collas1,Evolutionary potential,3,Excellent,High,yes,3,3
Ecological,Organization,Dickey_Collas,dickey_collas1,Ecosystem connectivity,4,Excellent,High,yes,4,3
