Attributes,Score Mean,Score SD,Importance Mean,Importance SD
Accountable,3.1666666666666665,0.983192080250175,2,0.6324555320336759
Adaptive,3.1666666666666665,0.983192080250175,2.8333333333333335,0.408248290463863
Adult mobility,1.6666666666666667,0.816496580927726,1.6666666666666667,1.0327955589886444
Age structure,2.3333333333333335,0.5163977794943222,2,0.8944271909999159
Agency,3.3333333333333335,0.5163977794943222,2.8333333333333335,0.408248290463863
Cross-scale integration,2.6666666666666665,0.816496580927726,2.3333333333333335,0.816496580927726
Dietary flexibility,2.2,0.8366600265340756,1.8,0.8366600265340756
Economic diversity,2.3333333333333335,0.5163977794943222,2.5,0.5477225575051661
Economic opportunity,2.5,0.5477225575051661,2,0.6324555320336759
Ecosystem connectivity,2.8333333333333335,0.408248290463863,2.3333333333333335,0.816496580927726
Effective and efficient,2.1666666666666665,1.1690451944500122,2.1666666666666665,0.408248290463863
Environmental niche breadth,2.4,0.5477225575051661,2.4,0.5477225575051661
Equitable and inclusive,3,0.6324555320336759,2.5,0.5477225575051661
Evolutionary potential,2.4,1.140175425099138,2.6,0.5477225575051661
Flexible and agile infrstructure,2.1666666666666665,0.752772652709081,2,0.6324555320336759
Genetic diversity,2.6,1.140175425099138,2.2,0.8366600265340756
Habitat diversity,2.3333333333333335,0.5163977794943222,2.1666666666666665,0.752772652709081
Knowledge access,3,0.8944271909999159,2.3333333333333335,0.5163977794943222
Knowledge diversity,2.8333333333333335,0.408248290463863,2.1666666666666665,0.408248290463863
Larval dispersal,3.5,0.5477225575051661,2.8333333333333335,0.408248290463863
Leadership and initiative,3.1666666666666665,0.752772652709081,2.8333333333333335,0.408248290463863
Learning capacity,3.5,0.5477225575051661,2.8333333333333335,0.408248290463863
Mobility,1.8333333333333333,0.408248290463863,2.1666666666666665,0.752772652709081
Modular infrastructure,2.3333333333333335,0.5163977794943222,1.5,0.5477225575051661
Participatory,3.5,0.5477225575051661,3,0
Place attachment,4,0,3,0
Plasticity,2.6666666666666665,1.0327955589886444,2.1666666666666665,0.983192080250175
Polycentric,2.6666666666666665,0.816496580927726,2,0.8944271909999159
Population abundance,2.6666666666666665,0.5163977794943222,2.1666666666666665,0.752772652709081
Population modularity,2.1666666666666665,0.752772652709081,1.8333333333333333,0.752772652709081
Resilience mindset,3,0.8944271909999159,3,0
Responsive,3.1666666666666665,0.752772652709081,2.3333333333333335,0.5163977794943222
Social capital,3.8333333333333335,0.408248290463863,2.6666666666666665,0.5163977794943222
Social diversity,2.3333333333333335,0.5163977794943222,1.8333333333333333,0.408248290463863
Species diversity,3.1666666666666665,0.752772652709081,2.3333333333333335,0.816496580927726
Technology transfer,1.8333333333333333,0.408248290463863,1.6666666666666667,0.816496580927726
Transparent,2.8,0.44721359549995793,2.2,0.44721359549995793
Wealth and reserves,2.8333333333333335,0.752772652709081,2.1666666666666665,0.752772652709081
